timestamp,import_price,export_price
2020-01-03 03:45:00+00:00,0.0265,0.0133
2020-01-03 04:00:00+00:00,0.0492,0.022
2020-01-03 04:15:00+00:00,0.0492,0.022
2020-01-03 04:30:00+00:00,0.0492,0.022
2020-01-03 04:45:00+00:00,0.0492,0.022
2020-01-03 05:00:00+00:00,0.0856,0.0358
2020-01-03 05:15:00+00:00,0.0856,0.0358
2020-01-03 05:30:00+00:00,0.0856,0.0358
2020-01-03 05:45:00+00:00,0.0856,0.0358
2020-01-03 06:00:00+00:00,0.0911,0.0379
2020-01-03 06:15:00+00:00,0.0911,0.0379
2020-01-03 06:30:00+00:00,0.0911,0.0379
2020-01-03 06:45:00+00:00,0.0911,0.0379
2020-01-03 07:00:00+00:00,0.0964,0.0399
2020-01-03 07:15:00+00:00,0.0964,0.0399
2020-01-03 07:30:00+00:00,0.0964,0.0399
2020-01-03 07:45:00+00:00,0.0964,0.0399
2020-01-03 08:00:00+00:00,0.0976,0.0404
2020-01-03 08:15:00+00:00,0.0976,0.0404
2020-01-03 08:30:00+00:00,0.0976,0.0404
2020-01-03 08:45:00+00:00,0.0976,0.0404
2020-01-03 09:00:00+00:00,0.0965,0.0399
2020-01-03 09:15:00+00:00,0.0965,0.0399
2020-01-03 09:30:00+00:00,0.0965,0.0399
2020-01-03 09:45:00+00:00,0.0965,0.0399
2020-01-03 10:00:00+00:00,0.1039,0.0427
2020-01-03 10:15:00+00:00,0.1039,0.0427
2020-01-03 10:30:00+00:00,0.1039,0.0427
2020-01-03 10:45:00+00:00,0.1039,0.0427
2020-01-03 11:00:00+00:00,0.1192,0.0486
2020-01-03 11:15:00+00:00,0.1192,0.0486
2020-01-03 11:30:00+00:00,0.1192,0.0486
2020-01-03 11:45:00+00:00,0.1192,0.0486
2020-01-03 12:00:00+00:00,0.1191,0.0485
2020-01-03 12:15:00+00:00,0.1191,0.0485
2020-01-03 12:30:00+00:00,0.1191,0.0485
2020-01-03 12:45:00+00:00,0.1191,0.0485
2020-01-03 13:00:00+00:00,0.1196,0.0487
2020-01-03 13:15:00+00:00,0.1196,0.0487
2020-01-03 13:30:00+00:00,0.1196,0.0487
2020-01-03 13:45:00+00:00,0.1196,0.0487
2020-01-03 14:00:00+00:00,0.1191,0.0485
2020-01-03 14:15:00+00:00,0.1191,0.0485
2020-01-03 14:30:00+00:00,0.1191,0.0485
2020-01-03 14:45:00+00:00,0.1191,0.0485
2020-01-03 15:00:00+00:00,0.2984,0.13
2020-01-03 15:15:00+00:00,0.2984,0.13
2020-01-03 15:30:00+00:00,0.2984,0.13
2020-01-03 15:45:00+00:00,0.2984,0.13
2020-01-03 16:00:00+00:00,0.3034,0.1319
2020-01-03 16:15:00+00:00,0.3034,0.1319
2020-01-03 16:30:00+00:00,0.3034,0.1319
2020-01-03 16:45:00+00:00,0.3034,0.1319
2020-01-03 17:00:00+00:00,0.3056,0.1328
2020-01-03 17:15:00+00:00,0.3056,0.1328
2020-01-03 17:30:00+00:00,0.3056,0.1328
2020-01-03 17:45:00+00:00,0.3056,0.1328
2020-01-03 18:00:00+00:00,0.1078,0.0442
2020-01-03 18:15:00+00:00,0.1078,0.0442
2020-01-03 18:30:00+00:00,0.1078,0.0442
2020-01-03 18:45:00+00:00,0.1078,0.0442
2020-01-03 19:00:00+00:00,0.0966,0.04
2020-01-03 19:15:00+00:00,0.0966,0.04
2020-01-03 19:30:00+00:00,0.0966,0.04
2020-01-03 19:45:00+00:00,0.0966,0.04
2020-01-03 20:00:00+00:00,0.0936,0.0388
2020-01-03 20:15:00+00:00,0.0936,0.0388
2020-01-03 20:30:00+00:00,0.0936,0.0388
2020-01-03 20:45:00+00:00,0.0936,0.0388
2020-01-03 21:00:00+00:00,0.0886,0.0369
2020-01-03 21:15:00+00:00,0.0886,0.0369
2020-01-03 21:30:00+00:00,0.0886,0.0369
2020-01-03 21:45:00+00:00,0.0886,0.0369
2020-01-03 22:00:00+00:00,0.0795,0.0335
2020-01-03 22:15:00+00:00,0.0795,0.0335
2020-01-03 22:30:00+00:00,0.0795,0.0335
2020-01-03 22:45:00+00:00,0.0795,0.0335
2020-01-03 23:00:00+00:00,0.0816,0.0343
2020-01-03 23:15:00+00:00,0.0816,0.0343
2020-01-03 23:30:00+00:00,0.0816,0.0343
2020-01-03 23:45:00+00:00,0.0816,0.0343
2020-01-04 00:00:00+00:00,0.0643,0.0277
2020-01-04 00:15:00+00:00,0.0643,0.0277
2020-01-04 00:30:00+00:00,0.0643,0.0277
2020-01-04 00:45:00+00:00,0.0643,0.0277
2020-01-04 01:00:00+00:00,0.066,0.0283
2020-01-04 01:15:00+00:00,0.066,0.0283
2020-01-04 01:30:00+00:00,0.066,0.0283
2020-01-04 01:45:00+00:00,0.066,0.0283
2020-01-04 02:00:00+00:00,0.0405,0.0187
2020-01-04 02:15:00+00:00,0.0405,0.0187
2020-01-04 02:30:00+00:00,0.0405,0.0187
2020-01-04 02:45:00+00:00,0.0405,0.0187
2020-01-04 03:00:00+00:00,0.034,0.0162
2020-01-04 03:15:00+00:00,0.034,0.0162
2020-01-04 03:30:00+00:00,0.034,0.0162
2020-01-04 03:45:00+00:00,0.034,0.0162
2020-01-04 04:00:00+00:00,0.0247,0.0126
2020-01-04 04:15:00+00:00,0.0247,0.0126
2020-01-04 04:30:00+00:00,0.0247,0.0126
2020-01-04 04:45:00+00:00,0.0247,0.0126
2020-01-04 05:00:00+00:00,0.0246,0.0126
2020-01-04 05:15:00+00:00,0.0246,0.0126
2020-01-04 05:30:00+00:00,0.0246,0.0126
2020-01-04 05:45:00+00:00,0.0246,0.0126
2020-01-04 06:00:00+00:00,0.0721,0.0307
2020-01-04 06:15:00+00:00,0.0721,0.0307
2020-01-04 06:30:00+00:00,0.0721,0.0307
2020-01-04 06:45:00+00:00,0.0721,0.0307
2020-01-04 07:00:00+00:00,0.0681,0.0292
2020-01-04 07:15:00+00:00,0.0681,0.0292
2020-01-04 07:30:00+00:00,0.0681,0.0292
2020-01-04 07:45:00+00:00,0.0681,0.0292
2020-01-04 08:00:00+00:00,0.0843,0.0353
2020-01-04 08:15:00+00:00,0.0843,0.0353
2020-01-04 08:30:00+00:00,0.0843,0.0353
2020-01-04 08:45:00+00:00,0.0843,0.0353
2020-01-04 09:00:00+00:00,0.0464,0.0209
2020-01-04 09:15:00+00:00,0.0464,0.0209
2020-01-04 09:30:00+00:00,0.0464,0.0209
2020-01-04 09:45:00+00:00,0.0464,0.0209
2020-01-04 10:00:00+00:00,0.0693,0.0296
2020-01-04 10:15:00+00:00,0.0693,0.0296
2020-01-04 10:30:00+00:00,0.0693,0.0296
2020-01-04 10:45:00+00:00,0.0693,0.0296
2020-01-04 11:00:00+00:00,0.0731,0.0311
2020-01-04 11:15:00+00:00,0.0731,0.0311
2020-01-04 11:30:00+00:00,0.0731,0.0311
